,Reason,External Doc No.,Doc Type,Customer No.,Amount,UserID,Open,Ali_Amount,Ali_Type
0,PriceError,1103165316126860497	,Invoice,SUD0127,945.7,,False,945.7,Counted Price
1,PriceError,1103200068716056792	,Invoice,SUD0127,445.0,,False,445.0,Counted Price
2,Empty,1103242052787284798	,Invoice,SUD0128,565.0,,False,,
3,PriceError,1103253380981079294	,Invoice,SUD0127,679.0,,False,679.0,Counted Price
4,Empty,1103256932482064390	,Invoice,SUD0128,329.0,,False,,
5,PriceError,1103292068202817194	,Invoice,SUD0127,445.0,,False,445.0,Counted Price
6,PriceError,1103309764371580696	,Invoice,SUD0127,339.29,,False,339.29,Counted Price
7,PriceError,1103364900797411493	,Invoice,SUD0127,345.0,,False,345.0,Counted Price
8,PriceError,1103385924994653795	,Invoice,SUD0127,445.0,,False,445.0,Counted Price
9,Empty,1103385956994482997	,Invoice,SUD0128,160.8,,False,,
10,PriceError,1103406724111432397	,Invoice,SUD0127,1619.0,,False,1619.0,Counted Price
11,PriceError,1103466308306859393	,Invoice,SUD0127,725.0,,False,725.0,Counted Price
12,PriceError,1103551844239708990	,Invoice,SUD0127,629.0,,False,629.0,Counted Price
13,Empty,1103643268955946594	,Invoice,SUD0128,655.0,,False,,
14,PriceError,1103924836705027794	,Invoice,SUD0127,1100.0,,False,1100.0,Counted Price
15,PriceError,1103967492747947694	,Invoice,SUD0127,660.0,,False,660.0,Counted Price
16,PriceError,1103976324528758199	,Invoice,SUD0127,505.0,,False,505.0,Counted Price
17,PriceError,1104012740514489589	,Invoice,SUD0127,669.0,,False,669.0,Counted Price
18,PriceError,1104096868209911291	,Invoice,SUD0127,629.0,,False,629.0,Counted Price
19,Empty,1104120004822251889	,Invoice,SUD0128,234.5,,False,,
20,Empty,1104136452382580789	,Invoice,SUD0128,799.0,,False,,
21,Empty,1104159300275390189	,Invoice,SUD0128,0.0,,False,,
22,PriceError,1104547428349436190	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
23,Empty,1104548484321191694	,Invoice,SUD0128,320.1,,False,,
24,Empty,1104549988980177399	,Invoice,SUD0128,0.0,,False,,
25,Empty,1104574660341078692	,Invoice,SUD0128,179.0,,False,,
26,PriceError,1104575204360899287	,Invoice,SUD0127,689.0,,False,689.0,Counted Price
27,Empty,1104596132432639292	,Invoice,SUD0128,789.5,,False,,
28,PriceError,1104603588348165997	,Invoice,SUD0127,385.0,,False,385.0,Counted Price
29,Empty,1104637828412199896	,Invoice,SUD0128,890.0,,False,,
30,PriceError,1104646052535584399	,Invoice,SUD0127,435.0,,False,435.0,Counted Price
31,PriceError,1104687236653346391	,Invoice,SUD0127,349.0,,False,349.0,Counted Price
32,Empty,1104714628412700488	,Invoice,SUD0128,504.5,,False,,
33,Empty,1104728452986400797	,Invoice,SUD0128,565.0,,False,,
34,PriceError,1104753444279758689	,Invoice,SUD0127,575.0,,False,575.0,Counted Price
35,PriceError,1104795588839636989	,Invoice,SUD0127,649.0,,False,649.0,Counted Price
36,PriceError,1104870564936975294	,Invoice,SUD0127,1120.0,,False,1120.0,Counted Price
37,PriceError,1104889764284135397	,Invoice,SUD0127,99.0,,False,99.0,Counted Price
38,PriceError,1104987396592604693	,Invoice,SUD0127,0.0,,False,0.93,Counted Price
39,PriceError,1105011876827007799	,Invoice,SUD0127,639.0,,False,639.0,Counted Price
40,Empty,1105132900769575799	,Invoice,SUD0128,789.5,,False,,
41,Empty,1105188004250495890	,Invoice,SUD0128,0.0,,False,,
42,PriceError,1105200452613487298	,Invoice,SUD0127,689.0,,False,689.0,Counted Price
43,Empty,1105214020695867698	,Invoice,SUD0128,789.5,,False,,
44,PriceError,1105221796537237189	,Invoice,SUD0127,1109.0,,False,1109.0,Counted Price
45,PriceError,1105223588882633293	,Invoice,SUD0127,639.0,,False,639.0,Counted Price
46,PriceError,1105687815316770998	,Invoice,SUD0127,770.0,,False,770.0,Counted Price
47,PriceError,1105757031767731090	,Invoice,SUD0127,740.1,,False,740.1,Counted Price
48,PriceError,1105785767601299887	,Invoice,SUD0127,770.0,,False,770.0,Counted Price
49,PriceError,1105799911516048888	,Invoice,SUD0127,425.78,,False,425.78,Counted Price
50,PriceError,1105810887008859799	,Invoice,SUD0127,337.37,,False,337.37,Counted Price
51,Empty,1105820710519292996	,Invoice,SUD0128,565.0,,False,,
52,PriceError,1105831494256225397	,Invoice,SUD0127,840.0,,False,840.0,Counted Price
53,PriceError,1105872263731379892	,Invoice,SUD0127,379.0,,False,379.0,Counted Price
54,Empty,1105879111484586190	,Invoice,SUD0128,1049.0,,False,,
55,PriceError,1105888711476678291	,Invoice,SUD0127,399.0,,False,399.0,Counted Price
56,PriceError,1105888807343123995	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
57,Empty,1105968551387395694	,Invoice,SUD0128,959.0,,False,,
58,Empty,1105981286366946095	,Invoice,SUD0128,0.0,,False,,
59,Empty,1105982502197578494	,Invoice,SUD0128,0.0,,False,,
60,PriceError,1105987782713105695	,Invoice,SUD0127,940.0,,False,940.0,Counted Price
61,PriceError,1105992742452018895	,Invoice,SUD0127,1040.0,,False,1040.0,Counted Price
