	Reason	External Doc No.	Posting Date	Doc Type	Customer No.	Amount	UserID	Open	Ali_Amount	Ali_Type
5	PriceError	"1160123617127096229	"	2020/8/5	Invoice	SUD0127	-759		FALSE	0	Counted Price
6	PriceError	"1163036736830365024	"	2020/8/6	Invoice	SUD0127	399		FALSE	389	Counted Price
7	Empty	"11630415040746129792	"	2020/8/6	Invoice	SUD0127	775.96		FALSE		
8	Empty	"11631638729676967852	"	2020/8/6	Invoice	SUD0127	335		FALSE		
19	Empty	"11638132819764831708	"	2020/8/6	Invoice	SUD0127	733.46		FALSE		
24	PriceError	"1163868163746992078	"	2020/8/6	Invoice	SUD0127	569		FALSE	559	Counted Price
25	Empty	"11639032012488075612	"	2020/8/6	Invoice	SUD0127	565		FALSE		
27	Empty	"11640334745738876522	"	2020/8/6	Invoice	SUD0127	472.42		FALSE		
29	Empty	"11642854420833360342	"	2020/8/6	Invoice	SUD0127	499		FALSE		
2050	Empty	"6023128077054402962	"	2020/8/6	Invoice	SUD0127	565		FALSE		
2056	PriceError	"611282636869120700	"	2020/8/6	Invoice	SUD0127	599		FALSE	589	Counted Price
2057	Empty	"6114267981341007052	"	2020/8/6	Invoice	SUD0127	501.18		FALSE		
9	Empty	"11636429771074174132	"	2020/8/7	Invoice	SUD0127	475		FALSE		
10	Empty	"11636429771074174133	"	2020/8/7	Invoice	SUD0127	475		FALSE		
11	Empty	"1163642977107417413R	"	2020/8/7	Credit Memo	SUD0127	-475		FALSE		
12	PriceError	"1163671713901829815	"	2020/8/7	Invoice	SUD0127	0		FALSE	515	Counted Price
28	Empty	"11640938584556668842	"	2020/8/7	Invoice	SUD0127	345		FALSE		
30	PriceError	"1164874657942974737	"	2020/8/7	Invoice	SUD0127	731.1		FALSE	411.25	Counted Price
39	Empty	"11658034570279821362	"	2020/8/7	Invoice	SUD0127	449		FALSE		
40	Empty	"11658577954653235512	"	2020/8/7	Invoice	SUD0127	449		FALSE		
42	Empty	"11660848034849576102	"	2020/8/7	Invoice	SUD0127	337.22		FALSE		
26	Empty	"11639998420021244442	"	2020/8/8	Invoice	SUD0127	515		FALSE		
31	Empty	"11648964488888385832	"	2020/8/8	Invoice	SUD0127	515		FALSE		
32	PriceError	"1165335328213719508	"	2020/8/8	Invoice	SUD0127	529		FALSE	529.19	Counted Price
41	Empty	"11659052489231209232	"	2020/8/8	Invoice	SUD0127	376.91		FALSE		
46	Empty	"11665035229479358255	"	2020/8/8	Invoice	SUD0127	335		FALSE		
49	Empty	"1166763043026455192	"	2020/8/8	Invoice	SUD0127	0		FALSE		
51	Empty	"11668193612704023652	"	2020/8/8	Invoice	SUD0127	930		FALSE		
52	PriceError	"1167086113020974737	"	2020/8/8	Invoice	SUD0127	585.1		FALSE	858.39	Counted Price
53	Empty	"11671200676209231192	"	2020/8/8	Invoice	SUD0127	335		FALSE		
54	Empty	"11672697625611904352	"	2020/8/8	Invoice	SUD0127	345		FALSE		
55	Empty	"11674074567090107332	"	2020/8/8	Invoice	SUD0127	335		FALSE		
56	Empty	"11675083214381365842	"	2020/8/8	Invoice	SUD0127	345		FALSE		
57	Empty	"11675525149800619772	"	2020/8/8	Invoice	SUD0127	328.57		FALSE		
58	Empty	"11678382425742861552	"	2020/8/8	Invoice	SUD0127	476.45		FALSE		
59	Empty	"11683524819128397102	"	2020/8/8	Invoice	SUD0127	385		FALSE		
2052	Empty	"6024702775887078933	"	2020/8/8	Invoice	SUD0127	340.93		FALSE		
34	Empty	"11654241616107731463	"	2020/8/9	Invoice	SUD0127	759.16		FALSE		
50	Empty	"11667791367270597862	"	2020/8/9	Invoice	SUD0127	99		FALSE		
60	Empty	"11686991363176179782	"	2020/8/9	Invoice	SUD0127	435		FALSE		
62	Empty	"11688368003789681072	"	2020/8/9	Invoice	SUD0127	335		FALSE		
63	Empty	"11691551057644078662	"	2020/8/9	Invoice	SUD0127	339		FALSE		
64	Empty	"11692821787230314392	"	2020/8/9	Invoice	SUD0127	385		FALSE		
65	Empty	"11693411544640741062	"	2020/8/9	Invoice	SUD0127	385		FALSE		
66	Empty	"11694863068648076352	"	2020/8/9	Invoice	SUD0127	385		FALSE		
68	Empty	"11696720992569251382	"	2020/8/9	Invoice	SUD0127	0.08		FALSE		
69	Empty	"11700727065076705172	"	2020/8/9	Invoice	SUD0127	1469		FALSE		
2055	Empty	"6025962623449791982	"	2020/8/9	Invoice	SUD0127	343.96		FALSE		
2058	Empty	"6116025726492120042	"	2020/8/9	Invoice	SUD0127	389		FALSE		
1	Empty	"11055507275796717972	"	2020/8/12	Invoice	SUD0127	345		FALSE		
70	Empty	"11742865604166412612	"	2020/8/12	Invoice	SUD0127	457.67		FALSE		
71	Empty	"11743056004261089352	"	2020/8/12	Invoice	SUD0127	1010.6		FALSE		
72	Empty	"11743272968050269732	"	2020/8/12	Invoice	SUD0127	465		FALSE		
73	PriceError	"1174363744531529678	"	2020/8/12	Invoice	SUD0127	1907.01		FALSE	1907	Counted Price
74	Empty	"11743640008814070472	"	2020/8/12	Invoice	SUD0127	345		FALSE		
75	Empty	"11749279043823887162	"	2020/8/12	Invoice	SUD0127	445		FALSE		
76	Empty	"11749853466242955142	"	2020/8/12	Invoice	SUD0127	449		FALSE		
77	Empty	"11749926416903487602	"	2020/8/12	Invoice	SUD0127	345		FALSE		
78	Empty	"11749944667720568162	"	2020/8/12	Invoice	SUD0127	465		FALSE		
79	Empty	"11750205774728149172	"	2020/8/12	Invoice	SUD0127	565		FALSE		
80	Empty	"11750566099594274262	"	2020/8/12	Invoice	SUD0127	376.9		FALSE		
81	Empty	"11751262744495199162	"	2020/8/12	Invoice	SUD0127	376.2		FALSE		
82	Empty	"11751840668286336532	"	2020/8/12	Invoice	SUD0127	824		FALSE		
85	Empty	"11752738276806245202	"	2020/8/12	Invoice	SUD0127	387.95		FALSE		
86	Empty	"11754488021276520662	"	2020/8/12	Invoice	SUD0127	345		FALSE		
87	Empty	"11756424664045056612	"	2020/8/12	Invoice	SUD0127	345		FALSE		
3	Empty	"11057937988670788982	"	2020/8/13	Invoice	SUD0127	445		FALSE		
43	Empty	"11665035229479358252	"	2020/8/13	Invoice	SUD0127	335		FALSE		
44	Empty	"11665035229479358253	"	2020/8/13	Invoice	SUD0127	335		FALSE		
45	Empty	"11665035229479358254	"	2020/8/13	Invoice	SUD0127	335		FALSE		
47	Empty	"1166503522947935825A	"	2020/8/13	Credit Memo	SUD0127	-335		FALSE		
48	Empty	"1166503522947935825R	"	2020/8/13	Credit Memo	SUD0127	-1005		FALSE		
88	Empty	"11756799047875861882	"	2020/8/13	Invoice	SUD0127	0.09		FALSE		
89	Empty	"11764746884079532332	"	2020/8/13	Invoice	SUD0127	565		FALSE		
92	Empty	"11765331851657331212	"	2020/8/13	Invoice	SUD0127	445		FALSE		
93	PriceError	"1176569442350961949	"	2020/8/13	Invoice	SUD0127	1138		FALSE	1081.1	Counted Price
94	Empty	"11770140196354932452	"	2020/8/13	Invoice	SUD0127	515		FALSE		
2059	Empty	"6123404617519476112	"	2020/8/13	Invoice	SUD0127	345		FALSE		
2060	Empty	"6124352473153711112	"	2020/8/13	Invoice	SUD0127	178.96		FALSE		
2062	Empty	"6125089101354094042	"	2020/8/13	Invoice	SUD0127	623.1		FALSE		
2	Empty	"11056889677494863932	"	2020/8/14	Invoice	SUD0127	565		FALSE		
13	Empty	"11638132819764831702	"	2020/8/14	Invoice	SUD0127	349.09		FALSE		
14	Empty	"11638132819764831703	"	2020/8/14	Invoice	SUD0127	349.09		FALSE		
15	Empty	"11638132819764831704	"	2020/8/14	Invoice	SUD0127	349.09		FALSE		
16	Empty	"11638132819764831705	"	2020/8/14	Invoice	SUD0127	384.37		FALSE		
17	Empty	"11638132819764831706	"	2020/8/14	Invoice	SUD0127	384.37		FALSE		
18	Empty	"11638132819764831707	"	2020/8/14	Invoice	SUD0127	384.37		FALSE		
20	Empty	"1163813281976483170A	"	2020/8/14	Credit Memo	SUD0127	-1153.11		FALSE		
